slug,brand,model,displayName,reference,referenceStatus,year,condition,material,character,shortDescription,curiosityQuote,history,status,price,imageCount,sourceUrls,verificationNote
audemars-piguet-royal-oak-automatic,Audemars Piguet,Royal Oak Automatic,Audemars Piguet Royal Oak Automatic,15300ST / 14790ST - wariant do potwierdzenia,rozpoznanie kolekcji wysokiej pewno?ci; dok?adna referencja zale?y od ?rednicy koperty i numer?w na deklu,"ok. lata 2000., do potwierdzenia","bardzo dobry, ocena wst?pna ze zdj??","stal nierdzewna, srebrna tarcza tapisserie, pasek sk?rzany",sportowa ikona haute horlogerie,"Audemars Piguet Royal Oak Automatic ze srebrn? tarcz? tapisserie przenosi projekt Geralda Genty w eleganck?, stalow? form? na pasku sk?rzanym.","O?miok?tny bezel i zintegrowana linia koperty sprawi?y, ?e stalowy zegarek m?g? sta? si? pe?noprawnym symbolem luksusu.","Royal Oak z 1972 roku prze?ama? granic? mi?dzy zegarkiem sportowym a presti?owym zegarkiem mechanicznym. Egzemplarz ze srebrn? tarcz?, dat? na godzinie 3 i automatycznym naci?giem zachowuje najwa?niejsze cechy projektu: ?ruby w bezelu, szczotkowan? stal i geometryczn? tarcz? typu tapisserie.",dost?pny,cena na zapytanie,3,https://www.audemarspiguet.com/com/en/watch-collection/royal-oak.html | https://www.chrono24.com/audemarspiguet/ref-15300stoo1220st01.htm,"Rok, stan i dok?adna referencja konkretnego egzemplarza powinny zosta? potwierdzone dokumentami, numerem seryjnym lub ogl?dzinami zegarmistrza przed publikacj? sprzeda?ow?."
breitling-chronomat-evolution-blue,Breitling,Chronomat Evolution Blue Dial,Breitling Chronomat Evolution Blue Dial,A13356 - do potwierdzenia,rozpoznanie modelu wysokiej pewno?ci; referencj? nale?y potwierdzi? po deklu,"ok. 2004-2008, do potwierdzenia","dobry / bardzo dobry, ocena wst?pna ze zdj??","stal nierdzewna, niebieska tarcza, pasek gumowy",lotniczy chronograf sportowy,Breitling Chronomat Evolution z niebiesk? tarcz? to wyrazisty automatyczny chronograf o masywnej kopercie i technicznym charakterze.,"Niebieska tarcza ?agodzi narz?dziow? sylwetk? Chronomata, ale nie odbiera mu lotniczej energii.","Chronomat Evolution rozwija? najwa?niejsz? wsp??czesn? lini? Breitlinga: chronograf automatyczny, obracany bezel z rider tabs, czytelne liczniki i mocn? kopert?. Ten wariant z rzymskimi indeksami i dat? na godzinie 3 dobrze pokazuje okres, w kt?rym Chronomat sta? si? jednym z najbardziej rozpoznawalnych luksusowych zegark?w sportowych pocz?tku XXI wieku.",dost?pny,cena na zapytanie,3,https://www.breitlingsource.com/watch_details/Chronomat_3.html | https://www.chrono24.com/breitling/ref-a13356.htm,"Rok, stan i dok?adna referencja konkretnego egzemplarza powinny zosta? potwierdzone dokumentami, numerem seryjnym lub ogl?dzinami zegarmistrza przed publikacj? sprzeda?ow?."
breitling-rozowe-zloto,Breitling,Chronomat Evolution Chronograph,Breitling Chronomat Evolution Chronograph,B13356 / K13356 - wariant do potwierdzenia po dekielku i dokumentach,rozpoznanie kolekcji wysokiej pewno?ci; wariant materia?owy wymaga potwierdzenia,"oko?o 2004-2008, rocznik egzemplarza do potwierdzenia","dobry / bardzo dobry, widoczne normalne ?lady u?ytkowania","z?oto lub stal-z?oto, tarcza mother-of-pearl, pasek sk?rzany",lotniczy chronograf bi?uteryjny,Breitling Chronomat Evolution w z?otej tonacji i z tarcz? mother-of-pearl to masywny chronograf lotniczy w bardziej jubilerskim wydaniu.,"To Chronomat z epoki, w kt?rej techniczny chronograf Breitlinga nabra? ostentacyjnie luksusowego charakteru.","Chronomat Evolution by? rozwini?ciem flagowej linii Breitlinga stworzonej z my?l? o profesjonalnych chronografach. Wersje z kalibrem Breitling 13 ??czy?y automatyczny chronograf, dat?, obrotowy bezel i mocn? kopert?, a warianty z mas? per?ow? i z?otem przenosi?y sportowe DNA kolekcji w stron? zegarka statusowego.",dost?pny,cena na zapytanie,3,https://www.chrono24.com/breitling/ref-b13356.htm | https://www.breitlingsource.com/watch_details/Chronomat_3.html,"Rok, stan i dok?adna referencja konkretnego egzemplarza powinny zosta? potwierdzone dokumentami, numerem seryjnym lub ogl?dzinami zegarmistrza przed publikacj? sprzeda?ow?."
breitling-niebieski,Breitling,Superocean Heritage B20 Automatic 42,Breitling Superocean Heritage B20 Automatic 42,AB2010161C1A1,rozpoznanie wysokiej pewno?ci na podstawie wygl?du i zgodno?ci z katalogiem Breitling,"rok egzemplarza do potwierdzenia; model wsp??czesny, linia B20 Automatic 42","bardzo dobry, z widocznymi drobnymi ?ladami u?ytkowania na bezelu i kopercie","stal nierdzewna, niebieski ceramiczny bezel, bransoleta stalowa typu mesh",sportowo-elegancki diver,Breitling Superocean Heritage B20 Automatic 42 z niebiesk? tarcz? ??czy klasyczny styl nurkowy lat 50. z nowoczesnym manufakturowym kalibrem B20.,"Niebieska ceramika i stalowa siatka tworz? zegarek, kt?ry wygl?da naturalnie zar?wno przy wodzie, jak i pod mankietem marynarki.","Superocean Heritage czerpie z pierwszych nurkowych Breitling?w z 1957 roku, ale w wersji B20 Automatic 42 korzysta z nowoczesnego, certyfikowanego chronometru z oko?o 70-godzinn? rezerw? chodu. Tr?jk?tne wskaz?wki, szeroki bezel i bransoleta mesh buduj? rozpoznawalny most mi?dzy zegarkiem narz?dziowym a eleganckim zegarkiem codziennym.",dost?pny,cena na zapytanie,3,https://www.breitling.com/us-en/watches/superocean-heritage/superocean-heritage-b20-automatic-42/AB2010161C1A1/,"Rok, stan i dok?adna referencja konkretnego egzemplarza powinny zosta? potwierdzone dokumentami, numerem seryjnym lub ogl?dzinami zegarmistrza przed publikacj? sprzeda?ow?."
breitling-for-bentley-mulliner-perpetual-calendar,Breitling for Bentley,Mulliner Perpetual Calendar,Breitling for Bentley Mulliner Perpetual Calendar,R29362 / R2936212 - do potwierdzenia,rozpoznanie modelu wysokiej pewno?ci po oznaczeniu Bentley Mulliner i uk?adzie wiecznego kalendarza,"ok. 2000-2010, do potwierdzenia","bardzo dobry, ocena wst?pna ze zdj??","z?oto, pasek sk?rzany, tarcza z komplikacjami kalendarzowymi",kolekcjonerski zegarek komplikowany,Breitling for Bentley Mulliner Perpetual Calendar ??czy motoryzacyjny przepych linii Bentley z rozbudowanym kalendarzem wiecznym i faz? ksi??yca.,"To Breitling z czas?w, gdy wsp??praca z Bentleyem oznacza?a nie tylko skal? i moc, ale te? teatraln? komplikacj? na tarczy.","Linia Breitling for Bentley powsta?a po wsp??pracy marki z Bentleyem przy Continental GT. Wersja Mulliner Perpetual Calendar nale?y do najbardziej z?o?onych modeli tej rodziny: pokazuje miesi?c, dzie?, dat?, faz? ksi??yca, cykl przest?pny i wskazania 24-godzinne, zachowuj?c charakter du?ego, luksusowego chronografu inspirowanego ?wiatem grand tourer?w.",dost?pny,cena na zapytanie,3,https://www.breitling.com/ | https://www.chrono24.com/breitling/breitling-for-bentley-mulliner-perpetual-calendar--id35354516.htm,"Rok, stan i dok?adna referencja konkretnego egzemplarza powinny zosta? potwierdzone dokumentami, numerem seryjnym lub ogl?dzinami zegarmistrza przed publikacj? sprzeda?ow?."
bvlgari,Bvlgari,Bvlgari Bvlgari Automatic 41,Bvlgari Bvlgari Automatic 41,BB41SPG,potwierdzone na zdj?ciu dekla: BB 41 SPG,"do potwierdzenia; znane egzemplarze tej referencji pojawiaj? si? m.in. z lat 2012, 2018 i 2022","bardzo dobry, z foli? ochronn? widoczn? na deklu",stal nierdzewna i 18-karatowe r??owe z?oto,w?oska elegancja z architektoniczn? bransolet?,Bvlgari Bvlgari BB41SPG to stalowo-z?oty automat 41 mm z charakterystycznym podw?jnym logo na bezelu.,"Podpis na bezelu jest tu elementem projektu, nie dodatkiem - Bvlgari zrobi?o z nazwy marki ornament.","Linia Bvlgari Bvlgari wywodzi si? z estetyki rzymskich monet, gdzie inskrypcja biegnie po obwodzie. W referencji BB41SPG ten motyw ??czy si? z nowoczesn? kopert? 41 mm, automatycznym mechanizmem BVL 191 widocznym przez przeszklony dekiel oraz dwukolorow? bransolet?.",dost?pny,cena na zapytanie,4,https://www.chrono24.com/bulgari/ref-bb41spg.htm,"Rok, stan i dok?adna referencja konkretnego egzemplarza powinny zosta? potwierdzone dokumentami, numerem seryjnym lub ogl?dzinami zegarmistrza przed publikacj? sprzeda?ow?."
bvlgari-diamenty,Bvlgari,Bvlgari Bvlgari Diamond Dial,Bvlgari Bvlgari Diamond Dial,BB33SLD / BB33SSD - do potwierdzenia,rozpoznanie kolekcji wysokiej pewno?ci; referencja wymaga odczytu z dekla,do potwierdzenia; estetyka kolekcji z lat 2000+,"dobry / bardzo dobry, ocena wst?pna ze zdj??","stal nierdzewna, masa per?owa, indeksy diamentowe, sk?rzany pasek",jubilerski zegarek codzienny,"Bvlgari Bvlgari z per?ow? tarcz? i diamentowymi indeksami to subtelna, bi?uteryjna interpretacja rzymskiego klasyka marki.","Najbardziej rozpoznawalnym detalem nie jest tu koronka ani indeksy, lecz pe?ny napis BVLGARI BVLGARI na stalowym pier?cieniu.","Zegarki Bvlgari Bvlgari s? projektowane jak bi?uteria u?ytkowa: prosta tarcza zostaje oprawiona w mocny, graficzny bezel z nazw? marki. Wariant z mas? per?ow? i diamentowymi indeksami wzmacnia jubilerski charakter, ale pozostawia czytelny, oszcz?dny uk?ad dw?ch wskaz?wek.",dost?pny,cena na zapytanie,3,https://www.chrono24.com/bulgari/index.htm,"Rok, stan i dok?adna referencja konkretnego egzemplarza powinny zosta? potwierdzone dokumentami, numerem seryjnym lub ogl?dzinami zegarmistrza przed publikacj? sprzeda?ow?."
cartier-mini-baignoire-czerwony,Cartier,Mini Baignoire / Colis?e,Cartier Mini Baignoire / Colis?e,do potwierdzenia,rozpoznanie jako ma?y damski Cartier wysokiej pewno?ci; model i referencja wymagaj? potwierdzenia po deklu,"lata 1990-2000, do potwierdzenia","dobry / bardzo dobry, ocena wst?pna ze zdj??","z?oto, czarna tarcza, czerwony pasek sk?rzany",bi?uteryjny zegarek damski,"Ma?y z?oty Cartier z czarn? tarcz? i czerwonym paskiem ma charakter dyskretnej bi?uterii, w kt?rej kolor gra r?wnie mocno jak forma koperty.","Czerwony pasek zmienia klasyczny zegarek damski Cartiera w akcent, kt?ry dzia?a jak detal haute couture.","Cartier od dekad buduje damskie zegarki na pograniczu jubilerstwa i wzornictwa u?ytkowego. Ten egzemplarz, widoczny na zdj?ciach jako niewielka z?ota koperta z czarn? tarcz?, wymaga potwierdzenia dok?adnej linii po deklu, ale estetycznie wpisuje si? w ma?e modele Baignoire, Colis?e i pokrewne projekty maison z prze?omu lat 90. i 2000.",dost?pny,cena na zapytanie,3,https://www.cartier.com/ | https://www.cartier.com/en-us/watches/collections/baignoire/,"Rok, stan i dok?adna referencja konkretnego egzemplarza powinny zosta? potwierdzone dokumentami, numerem seryjnym lub ogl?dzinami zegarmistrza przed publikacj? sprzeda?ow?."
cartier,Cartier,Must 21 Chronoscaph,Cartier Must 21 Chronoscaph,2424 / W10125U2,rozpoznanie wysokiej pewno?ci; ref. 2424 zgodna z modelem i uk?adem tarczy,"lata 2000., dok?adny rocznik do potwierdzenia","dobry / bardzo dobry, widoczne ?lady u?ytkowania na bezelu","stal nierdzewna, elementy gumowe, bransoleta stalowo-gumowa",sportowy Cartier z chronografem,"Cartier Must 21 Chronoscaph ref. 2424 ??czy rzymski bezel, stal i gum? z praktycznym kwarcowym chronografem.","Chronoscaph pokazuje mniej formaln? stron? Cartiera - nadal z rzymskimi cyframi, ale w rytmie sportowego chronografu.","Must 21 Chronoscaph nale?y do okresu, w kt?rym Cartier ??czy? w?asny j?zyk projektowy z bardziej sportow? konstrukcj?. Bezel z rzymskimi cyframi i kaboszonowa koronka pozostaj? czytelnie cartierowskie, a chronograf, data i mieszana bransoleta stalowo-gumowa nadaj? mu codzienny, dynamiczny charakter.",dost?pny,cena na zapytanie,4,https://www.analogshift.com/products/cartier-must-21-chronoscaph | https://www.youtube.com/watch?v=QJ4UoNswxcA,"Rok, stan i dok?adna referencja konkretnego egzemplarza powinny zosta? potwierdzone dokumentami, numerem seryjnym lub ogl?dzinami zegarmistrza przed publikacj? sprzeda?ow?."
cartier-tank-americaine-diamond,Cartier,Tank Am?ricaine Diamond,Cartier Tank Am?ricaine Diamond,do potwierdzenia,rozpoznanie kolekcji wysokiej pewno?ci; referencja zale?y od rozmiaru i konfiguracji diament?w,"lata 2000-2010, do potwierdzenia","bardzo dobry, ocena wst?pna ze zdj??","bia?e z?oto lub stal, diamentowy bezel, czarna tarcza, pasek sk?rzany",elegancki zegarek jubilerski,"Cartier Tank Am?ricaine z czarn? tarcz? i diamentow? lunet? ??czy architektur? klasycznego Tanka z bardziej wyd?u?on?, wieczorow? sylwetk?.","W Tank Am?ricaine prostok?t Cartiera staje si? smuklejszy, bardziej formalny i zdecydowanie bardziej salonowy.","Tank Am?ricaine rozwija lini? Tank Cintr?e: wyd?u?ona koperta, zakrzywiony profil i rzymska typografia zachowuj? DNA marki, ale nadaj? mu bardziej wsp??czesne proporcje. Wersja z czarn? tarcz?, dat? i opraw? diamentow? jest propozycj? katalogow? dla klienta szukaj?cego rozpoznawalnego Cartiera o wieczorowym charakterze.",dost?pny,cena na zapytanie,4,https://www.cartier.com/en-us/watches/collections/tank/tank-americaine/ | https://www.chrono24.com/cartier/tank-americaine.htm,"Rok, stan i dok?adna referencja konkretnego egzemplarza powinny zosta? potwierdzone dokumentami, numerem seryjnym lub ogl?dzinami zegarmistrza przed publikacj? sprzeda?ow?."
